YearMonth,Flavor,Units_Sold
2019-05-01,ButterPecan,71143
2018-05-01,CarmelPraline,20820
2022-03-01,RockyRoad,107031
2023-12-01,ButterPecan,73724
2019-08-01,CarmelPraline,51059
2017-09-01,CarmelPraline,30675
2020-06-01,RockyRoad,227522
2022-01-01,ButterPecan,36188
2017-08-01,RockyRoad,316641
2017-11-01,CarmelPraline,14987
2020-06-01,CarmelPraline,37220
2023-07-01,RockyRoad,400278
2018-10-01,ButterPecan,53718
2017-01-01,CarmelPraline,5767
2021-10-01,CarmelPraline,29724
2018-09-01,ButterPecan,106958
2023-07-01,CarmelPraline,87393
2018-03-01,CarmelPraline,12038
2021-10-01,RockyRoad,140768
2020-04-01,ButterPecan,72206
2017-02-01,CarmelPraline,6356
2022-04-01,CarmelPraline,36213
2017-05-01,RockyRoad,166164
2018-07-01,RockyRoad,344380
2018-02-01,CarmelPraline,7535
2018-12-01,RockyRoad,117554
2019-02-01,CarmelPraline,8654
2020-10-01,ButterPecan,68189
2023-06-01,ButterPecan,129863
2021-01-01,ButterPecan,33119
2023-11-01,CarmelPraline,37605
2021-02-01,CarmelPraline,12081
2017-02-01,ButterPecan,19823
2023-06-01,RockyRoad,256015
2019-03-01,ButterPecan,40685
2023-04-01,ButterPecan,95080
2022-11-01,ButterPecan,78784
2021-07-01,RockyRoad,287776
2022-05-01,CarmelPraline,39481
2020-10-01,RockyRoad,131265
2020-04-01,CarmelPraline,25171
2019-12-01,ButterPecan,53816
2018-08-01,CarmelPraline,41118
2022-07-01,CarmelPraline,78678
2023-08-01,RockyRoad,355053
2018-05-01,ButterPecan,62666
2021-04-01,ButterPecan,81290
2019-09-01,RockyRoad,249954
2019-01-01,CarmelPraline,8784
2020-09-01,RockyRoad,256688
2021-11-01,RockyRoad,135786
2017-09-01,ButterPecan,94058
2022-05-01,ButterPecan,96334
2019-08-01,RockyRoad,306908
2021-04-01,RockyRoad,168638
2022-03-01,ButterPecan,55388
2023-04-01,RockyRoad,183479
2019-06-01,ButterPecan,93617
2022-08-01,ButterPecan,187371
2019-03-01,RockyRoad,98014
2018-04-01,RockyRoad,167371
2019-07-01,CarmelPraline,54754
2020-11-01,RockyRoad,128683
2018-11-01,RockyRoad,131404
2022-09-01,ButterPecan,156768
2017-10-01,CarmelPraline,15173
2020-04-01,RockyRoad,151501
2023-01-01,ButterPecan,38126
2018-12-01,ButterPecan,48763
2022-06-01,CarmelPraline,50012
2018-11-01,CarmelPraline,18723
2023-07-01,ButterPecan,201236
2017-07-01,RockyRoad,337246
2021-07-01,CarmelPraline,56913
2023-11-01,ButterPecan,82506
2021-01-01,RockyRoad,56601
2023-06-01,CarmelPraline,55534
2017-03-01,RockyRoad,98370
2020-06-01,ButterPecan,104174
2017-07-01,ButterPecan,112456
2017-06-01,ButterPecan,73274
2023-04-01,CarmelPraline,40048
2019-10-01,CarmelPraline,21354
2023-03-01,CarmelPraline,24714
2020-12-01,ButterPecan,59029
2019-06-01,RockyRoad,232599
2021-03-01,CarmelPraline,19225
2023-01-01,CarmelPraline,15167
2019-11-01,CarmelPraline,20503
2022-10-01,ButterPecan,83097
2022-01-01,RockyRoad,58221
2022-02-01,CarmelPraline,13531
2021-11-01,CarmelPraline,29691
2022-05-01,RockyRoad,181051
2021-08-01,ButterPecan,174506
2021-09-01,RockyRoad,267905
2019-09-01,CarmelPraline,40481
2019-02-01,RockyRoad,58840
2022-09-01,CarmelPraline,64208
2022-03-01,CarmelPraline,22872
2023-10-01,ButterPecan,82210
2021-10-01,ButterPecan,76124
2018-03-01,ButterPecan,36526
2023-02-01,CarmelPraline,15115
2021-04-01,CarmelPraline,32038
2021-01-01,CarmelPraline,11633
2020-11-01,ButterPecan,66307
2021-07-01,ButterPecan,140182
2021-05-01,CarmelPraline,33774
2018-06-01,RockyRoad,225923
2022-04-01,ButterPecan,87585
2017-05-01,CarmelPraline,17145
2019-04-01,CarmelPraline,24242
2018-11-01,ButterPecan,54402
2020-01-01,RockyRoad,55353
2018-08-01,ButterPecan,119561
2017-01-01,RockyRoad,54719
2019-07-01,ButterPecan,153950
2022-06-01,ButterPecan,120087
2017-12-01,RockyRoad,93275
2020-01-01,CarmelPraline,9863
2023-09-01,RockyRoad,292103
2020-03-01,CarmelPraline,14326
2021-03-01,RockyRoad,102474
2019-01-01,ButterPecan,25684
2022-07-01,RockyRoad,365676
2021-12-01,CarmelPraline,24966
2021-02-01,RockyRoad,62972
2022-10-01,CarmelPraline,34649
2020-01-01,ButterPecan,30056
2019-10-01,RockyRoad,132633
2022-12-01,CarmelPraline,29457
2019-12-01,CarmelPraline,18191
2018-08-01,RockyRoad,308736
2021-09-01,ButterPecan,141802
2023-02-01,RockyRoad,66836
2023-08-01,CarmelPraline,85682
2021-05-01,ButterPecan,88280
2021-06-01,ButterPecan,113316
2020-08-01,RockyRoad,308819
2018-01-01,CarmelPraline,7560
2020-05-01,CarmelPraline,27302
2019-05-01,CarmelPraline,26380
2021-06-01,CarmelPraline,44426
2020-02-01,CarmelPraline,9706
2017-05-01,ButterPecan,53697
2019-03-01,CarmelPraline,14575
2021-08-01,CarmelPraline,69400
2022-12-01,RockyRoad,128007
2022-10-01,RockyRoad,148981
2019-07-01,RockyRoad,352262
2022-07-01,ButterPecan,191177
2017-12-01,CarmelPraline,14492
2017-11-01,ButterPecan,48571
2019-04-01,RockyRoad,161954
2022-06-01,RockyRoad,233027
2019-06-01,CarmelPraline,33481
2022-11-01,RockyRoad,139088
2018-04-01,ButterPecan,60130
2017-03-01,ButterPecan,30816
2017-06-01,RockyRoad,225716
2020-09-01,CarmelPraline,47845
2019-08-01,ButterPecan,144132
